Deck_Name,Paper_Price,MTGO_Price_Tix
Burn,89.94000000000001,48.17
Affinity,92.6,103.13999999999999
Dimir Control,132.47,42.13
Mono-Blue Faeries,93.81000000000002,60.46000000000001
Orzhov Ephemerate,49.08,92.10000000000001
Gruul Ponza,53.15,97.08000000000001
Familiars,56.8,74.85000000000001
Boros Synthesizer,53.44,62.56000000000001
Mono-Red Synthesizer,79.63999999999999,34.03
Walls Combo,24.83000000000001,28.73
Tron,78.96000000000001,23.66
Caw Gates,82.72,107.61000000000001
4 Color Ephemerate,81.94999999999999,86.44000000000001
Ephemerate Tron,75.85999999999999,70.07000000000001
Bogles,98.83000000000001,64.55000000000001
Kiln Fiend,72.61,47.90000000000001
Boros Bully,46.08,63.53
Izzet Faeries,72.47000000000001,64.30000000000001
Goblins,59.49,60.27
Slivers,20.83,64.55
Jeskai Ephemerate,74.32999999999998,66.75
